idx,pid,cond,shj_cond,bal_cond,phase,block_num,trial_num,file_name,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,switch_count,eg_type,test_acc,test_rt,train_cond,trial_attempts
1,4233,1,2,9,classify_train,1,1,aaa.png,,0,0,1,NA,NA,,Lape,Lape,3.178826941,1,NA,full,NA,NA,classify,1
2,4233,1,2,9,classify_train,1,2,aab.png,,0,0,0,NA,NA,,Lape,Tannet,1.11286337,0,NA,full,NA,NA,classify,1
3,4233,1,2,9,classify_train,1,2,aab.png,,0,0,0,NA,NA,,Lape,Lape,4.128391688,1,NA,full,NA,NA,classify,2
4,4233,1,2,9,classify_train,1,3,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,2.057550523,1,NA,full,NA,NA,classify,1
5,4233,1,2,9,classify_train,1,4,baa.png,,0,1,1,NA,NA,,Tannet,Lape,3.074997368,0,NA,full,NA,NA,classify,1
6,4233,1,2,9,classify_train,1,4,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,0.601395906,1,NA,full,NA,NA,classify,2
7,4233,1,2,9,classify_train,1,5,bba.png,,1,1,1,NA,NA,,Lape,Tannet,2.753384984,0,NA,full,NA,NA,classify,1
8,4233,1,2,9,classify_train,1,5,bba.png,,1,1,1,NA,NA,,Lape,Lape,1.699730115,1,NA,full,NA,NA,classify,2
9,4233,1,2,9,classify_train,1,6,abb.png,,1,0,0,NA,NA,,Tannet,Lape,1.89367088,0,NA,full,NA,NA,classify,1
10,4233,1,2,9,classify_train,1,6,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,1.317297932,1,NA,full,NA,NA,classify,2
11,4233,1,2,9,classify_train,1,7,bab.png,,0,1,0,NA,NA,,Tannet,Lape,3.965890935,0,NA,full,NA,NA,classify,1
12,4233,1,2,9,classify_train,1,7,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,5.561031019,1,NA,full,NA,NA,classify,2
13,4233,1,2,9,classify_train,1,8,bbb.png,,1,1,0,NA,NA,,Lape,Tannet,1.429137315,0,NA,full,NA,NA,classify,1
14,4233,1,2,9,classify_train,1,8,bbb.png,,1,1,0,NA,NA,,Lape,Lape,0.4394285,1,NA,full,NA,NA,classify,2
15,4233,1,2,9,classify_train,2,1,bba.png,,1,1,1,NA,NA,,Lape,Lape,2.097006965,1,NA,full,NA,NA,classify,1
16,4233,1,2,9,classify_train,2,2,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,3.056881107,1,NA,full,NA,NA,classify,1
17,4233,1,2,9,classify_train,2,3,aab.png,,0,0,0,NA,NA,,Lape,Lape,1.331256998,1,NA,full,NA,NA,classify,1
18,4233,1,2,9,classify_train,2,4,aba.png,,1,0,1,NA,NA,,Tannet,Lape,0.806844524,0,NA,full,NA,NA,classify,1
19,4233,1,2,9,classify_train,2,4,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,1.044874668,1,NA,full,NA,NA,classify,2
20,4233,1,2,9,classify_train,2,5,aaa.png,,0,0,1,NA,NA,,Lape,Lape,1.082360275,1,NA,full,NA,NA,classify,1
21,4233,1,2,9,classify_train,2,6,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,4.401518467,1,NA,full,NA,NA,classify,1
22,4233,1,2,9,classify_train,2,7,bbb.png,,1,1,0,NA,NA,,Lape,Lape,0.715478261,1,NA,full,NA,NA,classify,1
23,4233,1,2,9,classify_train,2,8,abb.png,,1,0,0,NA,NA,,Tannet,Lape,5.195506706,0,NA,full,NA,NA,classify,1
24,4233,1,2,9,classify_train,2,8,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,0.122282858,1,NA,full,NA,NA,classify,2
25,4233,1,2,9,classify_train,3,1,aab.png,,0,0,0,NA,NA,,Lape,Lape,0.685057933,1,NA,full,NA,NA,classify,1
26,4233,1,2,9,classify_train,3,2,aaa.png,,0,0,1,NA,NA,,Lape,Lape,13.89783834,1,NA,full,NA,NA,classify,1
27,4233,1,2,9,classify_train,3,3,abb.png,,1,0,0,NA,NA,,Tannet,Lape,1.123314129,0,NA,full,NA,NA,classify,1
28,4233,1,2,9,classify_train,3,3,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,0.755619348,1,NA,full,NA,NA,classify,2
29,4233,1,2,9,classify_train,3,4,baa.png,,0,1,1,NA,NA,,Tannet,Lape,2.995507766,0,NA,full,NA,NA,classify,1
30,4233,1,2,9,classify_train,3,4,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,0.002809757,1,NA,full,NA,NA,classify,2
31,4233,1,2,9,classify_train,3,5,bba.png,,1,1,1,NA,NA,,Lape,Lape,2.107024359,1,NA,full,NA,NA,classify,1
32,4233,1,2,9,classify_train,3,6,bbb.png,,1,1,0,NA,NA,,Lape,Tannet,1.752614594,0,NA,full,NA,NA,classify,1
33,4233,1,2,9,classify_train,3,6,bbb.png,,1,1,0,NA,NA,,Lape,Lape,0.336666285,1,NA,full,NA,NA,classify,2
34,4233,1,2,9,classify_train,3,7,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,0.576593106,1,NA,full,NA,NA,classify,1
35,4233,1,2,9,classify_train,3,8,aba.png,,1,0,1,NA,NA,,Tannet,Lape,1.02823132,0,NA,full,NA,NA,classify,1
36,4233,1,2,9,classify_train,3,8,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,0.189814027,1,NA,full,NA,NA,classify,2
37,4233,1,2,9,classify_train,4,1,bbb.png,,1,1,0,NA,NA,,Lape,Lape,2.423743257,1,NA,full,NA,NA,classify,1
38,4233,1,2,9,classify_train,4,2,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,0.741649689,1,NA,full,NA,NA,classify,1
39,4233,1,2,9,classify_train,4,3,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,1.054417976,1,NA,full,NA,NA,classify,1
40,4233,1,2,9,classify_train,4,4,aaa.png,,0,0,1,NA,NA,,Lape,Lape,0.714361907,1,NA,full,NA,NA,classify,1
41,4233,1,2,9,classify_train,4,5,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,2.882367956,1,NA,full,NA,NA,classify,1
42,4233,1,2,9,classify_train,4,6,bba.png,,1,1,1,NA,NA,,Lape,Lape,2.895514917,1,NA,full,NA,NA,classify,1
43,4233,1,2,9,classify_train,4,7,abb.png,,1,0,0,NA,NA,,Tannet,Lape,4.890919059,0,NA,full,NA,NA,classify,1
44,4233,1,2,9,classify_train,4,7,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,0.059501825,1,NA,full,NA,NA,classify,2
45,4233,1,2,9,classify_train,4,8,aab.png,,0,0,0,NA,NA,,Lape,Lape,0.395052749,1,NA,full,NA,NA,classify,1
46,4233,1,2,9,classify_train,5,1,bba.png,,1,1,1,NA,NA,,Lape,Lape,1.696593596,1,NA,full,NA,NA,classify,1
47,4233,1,2,9,classify_train,5,2,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,2.852937846,1,NA,full,NA,NA,classify,1
48,4233,1,2,9,classify_train,5,3,aaa.png,,0,0,1,NA,NA,,Lape,Lape,0.880925171,1,NA,full,NA,NA,classify,1
49,4233,1,2,9,classify_train,5,4,bbb.png,,1,1,0,NA,NA,,Lape,Lape,6.207908107,1,NA,full,NA,NA,classify,1
50,4233,1,2,9,classify_train,5,5,aab.png,,0,0,0,NA,NA,,Lape,Lape,6.09066043,1,NA,full,NA,NA,classify,1
51,4233,1,2,9,classify_train,5,6,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,3.491082407,1,NA,full,NA,NA,classify,1
52,4233,1,2,9,classify_train,5,7,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,3.535377048,1,NA,full,NA,NA,classify,1
53,4233,1,2,9,classify_train,5,8,bab.png,,0,1,0,NA,NA,,Tannet,Lape,2.077753161,0,NA,full,NA,NA,classify,1
54,4233,1,2,9,classify_train,5,8,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,1.109842062,1,NA,full,NA,NA,classify,2
55,4233,1,2,9,classify_train,6,1,aab.png,,0,0,0,NA,NA,,Lape,Lape,0.255748133,1,NA,full,NA,NA,classify,1
56,4233,1,2,9,classify_train,6,2,bba.png,,1,1,1,NA,NA,,Lape,Lape,3.036080563,1,NA,full,NA,NA,classify,1
57,4233,1,2,9,classify_train,6,3,bbb.png,,1,1,0,NA,NA,,Lape,Lape,0.972066971,1,NA,full,NA,NA,classify,1
58,4233,1,2,9,classify_train,6,4,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,0.515685906,1,NA,full,NA,NA,classify,1
59,4233,1,2,9,classify_train,6,5,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,2.344358934,1,NA,full,NA,NA,classify,1
60,4233,1,2,9,classify_train,6,6,aaa.png,,0,0,1,NA,NA,,Lape,Lape,0.72112724,1,NA,full,NA,NA,classify,1
61,4233,1,2,9,classify_train,6,7,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,6.676615089,1,NA,full,NA,NA,classify,1
62,4233,1,2,9,classify_train,6,8,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,0.71744711,1,NA,full,NA,NA,classify,1
63,4233,1,2,9,classify_train,7,1,bba.png,,1,1,1,NA,NA,,Lape,Lape,1.873783416,1,NA,full,NA,NA,classify,1
64,4233,1,2,9,classify_train,7,2,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,2.030546795,1,NA,full,NA,NA,classify,1
65,4233,1,2,9,classify_train,7,3,bbb.png,,1,1,0,NA,NA,,Lape,Lape,4.974111965,1,NA,full,NA,NA,classify,1
66,4233,1,2,9,classify_train,7,4,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,3.546822329,1,NA,full,NA,NA,classify,1
67,4233,1,2,9,classify_train,7,5,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,4.401132775,1,NA,full,NA,NA,classify,1
68,4233,1,2,9,classify_train,7,6,aab.png,,0,0,0,NA,NA,,Lape,Lape,1.655561941,1,NA,full,NA,NA,classify,1
69,4233,1,2,9,classify_train,7,7,aaa.png,,0,0,1,NA,NA,,Lape,Lape,1.036808908,1,NA,full,NA,NA,classify,1
70,4233,1,2,9,classify_train,7,8,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,7.69336173,1,NA,full,NA,NA,classify,1
71,4233,1,2,9,classify_train,8,1,bab.png,,0,1,0,NA,NA,,Tannet,Tannet,0.894665733,1,NA,full,NA,NA,classify,1
72,4233,1,2,9,classify_train,8,2,baa.png,,0,1,1,NA,NA,,Tannet,Tannet,0.337747546,1,NA,full,NA,NA,classify,1
73,4233,1,2,9,classify_train,8,3,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,3.520550589,1,NA,full,NA,NA,classify,1
74,4233,1,2,9,classify_train,8,4,aab.png,,0,0,0,NA,NA,,Lape,Lape,0.967369807,1,NA,full,NA,NA,classify,1
75,4233,1,2,9,classify_train,8,5,bba.png,,1,1,1,NA,NA,,Lape,Lape,1.076112398,1,NA,full,NA,NA,classify,1
76,4233,1,2,9,classify_train,8,6,bbb.png,,1,1,0,NA,NA,,Lape,Lape,5.711985515,1,NA,full,NA,NA,classify,1
77,4233,1,2,9,classify_train,8,7,abb.png,,1,0,0,NA,NA,,Tannet,Tannet,0.726435221,1,NA,full,NA,NA,classify,1
78,4233,1,2,9,classify_train,8,8,aaa.png,,0,0,1,NA,NA,,Lape,Lape,0.471140648,1,NA,full,NA,NA,classify,1
79,4233,1,2,9,classify_train,9,1,aba.png,,1,0,1,NA,NA,,Tannet,Tannet,0.580384142,1,NA,full,NA,NA,classify,1
80,4233,1,2,9,classify_train,9,2,aaa.png,,0,0,1,NA,NA,,Lape,Lape,1.327902306,1,NA,full,NA,NA,classify,1
81,4233,1,2,9,classify_train,9,3,bba.png,,1,1,1,NA,NA,,Lape,Lape,7.165744537,1,NA,full,NA,NA,classify,1
