"pid","training","shj","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","switch_count","start","finish"
4233,"classify",2,1,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4233,"classify",2,2,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4233,"classify",2,3,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4233,"classify",2,4,1,0,0,1,1,0,"Lape","Tannet",1,1,7,5
4233,"classify",2,5,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4233,"classify",2,6,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4233,"classify",2,7,0,0,0,0,1,0,"Tannet","Lape",1,1,3,1
4233,"classify",2,8,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4242,"classify",2,1,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4242,"classify",2,2,1,0,1,0,1,1,"Tannet","Tannet",0,2,4,6
4242,"classify",2,3,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4242,"classify",2,4,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4242,"classify",2,5,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4242,"classify",2,6,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4242,"classify",2,7,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4242,"classify",2,8,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4264,"classify",2,1,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4264,"classify",2,2,0,0,0,0,1,0,"Tannet","Lape",1,1,3,1
4264,"classify",2,3,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4264,"classify",2,4,1,1,0,0,0,0,"Lape","Lape",0,2,1,7
4264,"classify",2,5,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4264,"classify",2,6,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4264,"classify",2,7,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4264,"classify",2,8,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4313,"classify",2,1,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4313,"classify",2,2,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4313,"classify",2,3,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4313,"classify",2,4,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4313,"classify",2,5,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4313,"classify",2,6,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4313,"classify",2,7,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4313,"classify",2,8,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4319,"classify",2,1,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4319,"classify",2,2,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4319,"classify",2,3,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4319,"classify",2,4,0,0,0,1,0,1,"Tannet","Lape",1,2,6,1
4319,"classify",2,5,0,0,1,0,1,0,"Tannet","Lape",1,2,3,2
4319,"classify",2,6,1,0,1,0,0,0,"Lape","Tannet",1,2,1,6
4319,"classify",2,7,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4319,"classify",2,8,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4365,"classify",2,1,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4365,"classify",2,2,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4365,"classify",2,3,1,0,1,0,0,1,"Lape","Tannet",1,1,2,6
4365,"classify",2,4,0,1,0,1,1,0,"Lape","Tannet",1,1,7,3
4365,"classify",2,5,0,0,0,0,1,0,"Tannet","Lape",1,1,3,1
4365,"classify",2,6,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4365,"classify",2,7,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4365,"classify",2,8,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4380,"classify",2,1,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4380,"classify",2,2,0,0,1,1,0,0,"Tannet","Lape",1,2,5,2
4380,"classify",2,3,0,1,1,0,0,0,"Lape","Tannet",1,2,1,4
4380,"classify",2,4,0,1,1,1,1,0,"Lape","Tannet",1,2,7,4
4380,"classify",2,5,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4380,"classify",2,6,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4380,"classify",2,7,0,1,0,0,0,1,"Lape","Tannet",1,2,2,3
4380,"classify",2,8,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4425,"classify",2,1,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4425,"classify",2,2,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4425,"classify",2,3,0,1,0,0,0,0,"Lape","Tannet",1,1,1,3
4425,"classify",2,4,0,1,1,1,1,1,"Lape","Tannet",1,1,8,4
4425,"classify",2,5,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4425,"classify",2,6,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4425,"classify",2,7,0,0,0,1,1,0,"Lape","Lape",0,2,7,1
4425,"classify",2,8,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4436,"classify",2,1,1,1,0,0,0,1,"Lape","Lape",0,3,2,7
4436,"classify",2,2,1,0,0,1,1,0,"Lape","Tannet",1,1,7,5
4436,"classify",2,3,0,1,0,1,0,0,"Tannet","Tannet",0,2,5,3
4436,"classify",2,4,1,0,0,1,1,1,"Lape","Tannet",1,2,8,5
4436,"classify",2,5,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4436,"classify",2,6,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4436,"classify",2,7,1,1,1,0,0,0,"Lape","Lape",0,3,1,8
4436,"classify",2,8,1,1,0,0,1,1,"Tannet","Lape",1,2,4,7
4481,"classify",2,1,1,0,0,1,0,1,"Tannet","Tannet",0,1,6,5
4481,"classify",2,2,0,0,0,1,1,0,"Lape","Lape",0,2,7,1
