"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4226,2,1,1,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,1,2,1,1,1,1,1,"0","Lape","Lape",0,1,1,7,8
4226,2,1,2,0,1,1,1,1,"0","Lape","Tannet",1,2,2,7,4
4226,2,1,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,1,4,1,0,0,1,0,"1","Tannet","Tannet",0,1,1,6,5
4226,2,1,4,1,1,0,1,0,"1","Tannet","Lape",1,2,2,6,7
4226,2,1,5,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,1,6,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,1,7,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,1,8,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,2,1,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,2,2,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,2,3,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,2,4,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,2,5,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,2,6,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,2,7,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,2,8,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,3,1,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,3,2,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,3,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,3,4,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,3,5,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,3,6,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,3,7,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,3,8,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,4,1,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,4,2,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,4,3,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,4,4,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,4,5,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,4,6,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,4,7,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,4,8,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,5,1,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,5,2,0,1,0,1,0,"1","Tannet","Tannet",0,1,3,6,3
4226,2,5,2,1,1,0,1,0,"1","Tannet","Lape",1,2,2,6,7
4226,2,5,3,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,5,4,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,5,5,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,5,6,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,5,7,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,5,8,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,6,1,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,6,2,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,6,3,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,6,4,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,6,5,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,6,6,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,6,7,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,6,8,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,7,1,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,7,2,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,7,3,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,7,4,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,7,5,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,7,6,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,7,7,1,0,0,1,0,"1","Tannet","Tannet",0,1,1,6,5
4226,2,7,7,1,1,0,1,0,"1","Tannet","Lape",1,2,2,6,7
